Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,Muy de acuerdo,Liberal,2,"1. ""La recomposición de la democracia o entramos a una anarquía, a un fascismo, a una prepotencia, que ya empezó la prepotencia verbal. Y de la prepotencia verbal pasas a los golpes.""
2. Rechazamos todo tipo de dictadura y autoritarismo despótico que desconozca la libertad de los
ciudadanos o coacte la libertad pública y el caudillismo",Entrevista o declaración pública,"1. https://dai.ly/x9ymd5c
2. https://mpesije.jne.gob.pe/docs/5643db28-6dbd-4d35-b79e-30d20d3bed85.pdf
",1. 3:30
Matrimonio_igualitario,No se halló información,No se halló información,,,,,
Politicas_sin_influencia_religiosa,En desacuerdo,Conservador,-1,"""deterioro de los valores que sostienen a la nación"" ""mujeres cuidadas, ancianos respetados y niños queridos""",Entrevista o declaración pública,https://www.youtube.com/watch?v=ELCt0oISV5E,min 11
Estado_no_interviene_estilo_vida,De acuerdo,Liberal,1,"1. ""Uno puede hacer lo que quiera con su cuerpo. [...]""",Entrevista o declaración pública,https://www.youtube.com/watch?v=pUkUI7JUqYA,1. min 42
Gobierno_mano_dura,Muy en desacuerdo,Liberal,2,"1. ""Tu no puedes gobernar con prepotencia, balazos y en desorden""
2. Plan de gobierno: Rechazamos todo tipo de dictadura y autoritarismo despótico que desconozca la libertad de los
ciudadanos o coacte la libertad pública y el caudillismo",Entrevista o declaración pública,"1. https://www.youtube.com/watch?v=pUkUI7JUqYA
2.https://mpesije.jne.gob.pe/docs/5643db28-6dbd-4d35-b79e-30d20d3bed85.pdf ",1. 16:30
Educacion_sexual_solo_familia,En desacuerdo,Liberal,1,"""Una política de educación ciudadana, con civismo como base""",Entrevista o declaración pública,https://www.youtube.com/watch?v=QcXrpqAiyAI,min 43
Pena_muerte,Muy en desacuerdo,Liberal,2,"1. ""Abrazos y no balazos""
2. ""Amor con amor se paga. Yo no creo en la violencia""",Entrevista o declaración pública,"1. https://youtube.com/shorts/DugCXWoWCgo?si=9Lk9m6KeZk3EolYi
2. https://www.youtube.com/watch?v=ELCt0oISV5E",2. min 22
Militares_control_calles,En desacuerdo,Liberal,1,"1. menciona la necesidad de reestructurar el sistema de justicia, incluyendo la policía y la fiscalía, para mejorar la seguridad ciudadana. Y en este sentido aludir que esto debe funcionar como un sistema con instituciones fuertes",Entrevista o declaración pública,https://www.youtube.com/watch?v=TtEEQeRRII4,min 15
Reprimir_protestas,Muy en desacuerdo,Liberal,2,"1. ""Amor con amor se paga. Yo no creo en la violencia""",Entrevista o declaración pública,https://www.youtube.com/watch?v=ELCt0oISV5E,min 22
Aborto_libre,Neutral,Conservador,0,"1. ""Uno puede hacer lo que quiera con su cuerpo. [...] Lo que no puede hacer es matar a un niño en su seno""
2. ""si una mujer quiere abortar como abortan ahora escondidas, es preferible que aborten en la clínica que con toda la seguridad"" aunque menciona que hay otras prioridades",Entrevista o declaración pública,"1. https://www.youtube.com/watch?v=pUkUI7JUqYA
2. https://www.youtube.com/watch?v=n3yBrK0ea60","1. min 42
2. 52"
Posición Liberal-Conservador,,,"0,5",,,,
Cerrar_congreso_si_obstaculiza,De acuerdo,Antisistema,1,"1. ""La recomposición de la democracia o entramos a una anarquía, a un fascismo, a una prepotencia, que ya empezó la prepotencia verbal. Y de la prepotencia verbal pasas a los golpes.""
2. “Hay que sacar a los payasos que han gobernado este país”
3. ""Gobierna el Perú el parlemento""",Entrevista o declaración pública,"1. https://dai.ly/x9ymd5c
3. https://youtu.be/gDeWR7HWzjs?si=_0_q7plf5FhWcweh
2. https://www.youtube.com/watch?v=lfw2OiEnkGU","1. 3:30
2. 0:20
3. 18:20
"
Cambios_radicales_policia,Muy de acuerdo,Antisistema,2,"1. ""La inseguridad ciudadana es por la inseguridad jurídica"" - Argumenta que la crisis policial y de inseguridad es producto del mal ejemplo de corrupción desde la ""cabeza"" del gobierno, sugiriendo que el cambio debe ser radical
2. Sugiere reestructurar la policía y fiscalía",Entrevista o declaración pública,"1. https://www.youtube.com/watch?v=ELCt0oISV5E
2. https://www.youtube.com/watch?v=TtEEQeRRII4",1. min 17 - min 21:30
Nueva_constitucion,De acuerdo,Antisistema,1,"1. ""Derogar los 80 artículos que han cambiado de la Constitución inmediatamente... derogarlos inmediatamente"".",Entrevista o declaración pública,https://www.youtube.com/watch?v=pUkUI7JUqYA,1. 17:20
Prohibir_politicos_repostulen,De acuerdo,Antisistema,1,"1. ""Aquellos congresistas que quieren reelegirse desde adentro, y llegar al senado en un trampolín...""
2. ""Estamos viendo discursos nuevos con palabras viejas"" - Belmont crítica a los politicos que solo hablan y no actuan, además que muestra una fuerte posición en contra de la ""mafia"" que esta en el gobierno actualmente ",Entrevista o declaración pública,https://www.youtube.com/watch?v=pUkUI7JUqYA,"1. min 8
2. 22:30"
Reducir_sueldo_congresistas,De acuerdo,Antisistema,1,"1. ""Si los políticos entran calatos y salen millonarios... el país comienza a pensar que la única forma de enriquecerse es robando""
2. Compara a los que entran al gobierno con alguien que ""se saca la lotería""",Entrevista o declaración pública,https://www.youtube.com/watch?v=pUkUI7JUqYA,"min 38
min 14"
Permitir_mineria_informal,De acuerdo,Sistema,-1,"1. Plantea que el Estado intervenga para comprar directamente el oro a los pequeños mineros  y facilitar su formalización
2. ""El REINFO es algo que no ha funcionado""",Entrevista o declaración pública,https://www.youtube.com/watch?v=TtEEQeRRII4,min 19:30
Posición Sistema-Antisistema,,,"0,5",,,,
Asilo_politico_peligro,De acuerdo,Globalista,1,"Dijo que se debe cumplir un ""protocolo internacional"" y que ""la ley es igual para todos""",Entrevista o declaración pública,https://www.youtube.com/watch?v=GNFnRjADPmc,1:19:56
TLC_beneficiosos,No se halló información,No se halló información,,,,,
Restringir_empresas_extranjeras,Muy de acuerdo,Nacionalista,-2,"""Restricciones Arancelarias para que no nos sigan invadiendo las grandes potencias""",Entrevista o declaración pública,https://www.youtube.com/watch?v=efH9sVKwhvg,min 7:30
Nacionalidad_migrantes,En desacuerdo,Nacionalista,-1,"""El que delinque una vez se va, se le manda a su tierra"" -  Sostiene que los extranjeros son considerados ciudadanos cuando trabajan, respetan las leyes, se nacionalizan y forman familia en el Perú",Entrevista o declaración pública,https://www.youtube.com/watch?v=ELCt0oISV5E,min 58
Ley_peruana_sobre_acuerdos,No se halló información,No se halló información,,,,,
Posición Nacionalista-Globalista,No se halló información,No se halló información,"-0,375",,,,
Mas_impuestos_ricos,De acuerdo,Izquierda,1,"""Yo veo un gobierno que esta pensando en salvar a los ricos""impuestos a un grupo pequeño de grandes empresas",Entrevista o declaración pública,https://www.youtube.com/watch?v=efH9sVKwhvg,min 16
Empresas_sin_beneficios_tributarios,Muy de acuerdo,Izquierda,2,"""Empresas que se han hecho multimillonarias sean rescatadas por el estado""  - Asimismo invito al Dr. Ramón Ramírez Erazo que señala que una vía para salir de la crisis económica es imponer ",Entrevista o declaración pública,https://www.youtube.com/watch?v=efH9sVKwhvg,min 16
Recursos_naturales_estado,De acuerdo,Izquierda,1,"1. Enfatiza en como la minería esta controlada por empresas estadounidenses
2. ""País Alquilado"" refiriendose a la disposición de los recursos naturales del país ",Entrevista o declaración pública,"1. https://www.youtube.com/watch?v=mZiiA0VP7Fs
2. https://www.youtube.com/watch?v=GNFnRjADPmc",1:08:00
Pensiones_estado,No se halló información,No se halló información,,,,,
Sectores_estrategicos_privados,Muy en desacuerdo,Izquierda,2,"2. ""No se puede privatizar la salud en su totalidad""
2. ""La energía, el agua y la gasolina la queremos vender"" ""Defenderemos a Petroperú con todo lo que tengamos""",Entrevista o declaración pública,"1. https://www.youtube.com/watch?v=ELCt0oISV5E
1. https://www.youtube.com/watch?v=GNFnRjADPmc
2. https://www.youtube.com/watch?v=DE-umeYvABM","1. min 33
2. 1:07:00
3. min 34"
Priorizar_mineria_sobre_ambiente,En desacuerdo,Derecha,-1,"1. Plantea que el Estado intervenga para comprar directamente el oro a los pequeños mineros  y facilitar su formalización
2. ""El REINFO es algo que no ha funcionado""",Entrevista o declaración pública,https://www.youtube.com/watch?v=TtEEQeRRII4,min 19:30
Servicios_basicos_privados,Muy en desacuerdo,Izquierda,2,"1. Enfatiza que la educación debe ser gratuita y de alta calidad para quienes no pueden pagarla - Critica que se pongan en venta los recursos del país, específicamente menciona el riesgo de privatizar el agua y la energía 
2. Culpa a los gestores de Sedapal, mas esta en contra de que se desarticule, puesto que se estaría vendiendo al Perú",Entrevista o declaración pública,"1. https://www.youtube.com/watch?v=ELCt0oISV5E
2. https://www.youtube.com/watch?v=DE-umeYvABM",min 42
Estado_rol_principal_economia,De acuerdo,Izquierda,1,"1. ""Vengan quienes quieran, pero no como quieran"" - defiende el buscar inversion, y menciona que no es problema sobre quien controla sino es la corrupción y falta de presencia del estado.",Entrevista o declaración pública,https://www.dailymotion.com/video/xa0uhdm,min 17
Posición Derecha-Izquierda,,,"0,8",,,,
