Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,En desacuerdo,Liberal,1,"Mi compromiso es con la democracia, el Estado de derecho y la resolución de los conflictos por vías pacíficas e institucionales. ",Entrevista o declaración pública,https://web.facebook.com/alfonsolopezchau/posts/-en-los-%C3%BAltimos-d%C3%ADas-ha-vuelto-a-circular-un-art%C3%ADculo-period%C3%ADstico-que-escrib%C3%AD-h/1203825485181541/?_rdc=1&_rdr#,
Matrimonio_igualitario,Neutral,,0,"Sin respuesta clara, se declaro cristiano ",Entrevista o declaración pública,https://www.atv.pe/noticia/candidato-presidencial-lopez-chau-reafirma-su-postura-de-izquierda-en-el-cade-soy-cristiano-y-soy-socialista/?utm_source=chatgpt.com,
Politicas_sin_influencia_religiosa,Neutral,,0,La postura de socialismo democrático y pluralista,Entrevista o declaración pública,https://www.atv.pe/noticia/candidato-presidencial-lopez-chau-reafirma-su-postura-de-izquierda-en-el-cade-soy-cristiano-y-soy-socialista/?utm_source=chatgpt.com,
Estado_no_interviene_estilo_vida,No se halló información,No se halló información,--,,,,
Gobierno_mano_dura,En desacuerdo,Liberal,1,"Quiero un país donde todos tengamos oportunidades de crecimiento y bienestar, una población bien educada y saludable, servicios públicos de calidad, respeto a las instituciones y a la división de poderes del Estado. Quiero un país que crezca en democracia y libertad, pero con absoluto respeto a las normas. ",Entrevista o declaración pública,https://larepublica.pe/opinion/2025/12/18/el-terrorismo-en-el-peru-y-la-verdad-historica-frente-a-la-infamia-por-alfonso-lopez-chau-hnews-1198228 ,
Educacion_sexual_solo_familia,En desacuerdo,Liberal,1,"Incorporar estrategias que privilegien el bienestar de los estudiantes y garanticen su desarrollo pleno a través de una educación sexual, cuidado del cuerpo y la salud integral.",Plan de Gobierno,,
Pena_muerte,No se halló información,No se halló información,--,,,,
Militares_control_calles,En desacuerdo,Liberal,1,"Su plan no incluye a las FFAA en las calles, sino su reubicación: ""...desplazando unidades de las FFAA de las ciudades a zonas de menor desarrollo con importancia estratégica (selva y fronteras).",Plan de Gobierno,,
Reprimir_protestas,Muy en desacuerdo,Liberal,2,"""Estos jóvenes son parte de la generación que vio morir a más de 50 compatriotas en las calles, asesinados por ejercer el derecho más sagrado de una democracia, protestar. No eran violentos, eran peruanos indignados"".
",Entrevista o declaración pública,"🔴 Alfonso López‑Chau en CADE 2025: “La primera tarea no es económica, es moral”",0:04:29
Aborto_libre,Neutral,,0,"""Yo por ejemplo no creo, yo por ejemplo no creo
sen el aborto, no lo creo. Las personas decidirán. Yo no soy nadie para meterme en la vida íntima de las personas"".",Entrevista o declaración pública,"Alfonso López Chau Nava: ""Yo sí creo que necesitamos una nueva Constitución""",0:40:29
Posición Liberal-Conservador,,,"0,3",,,,
Cerrar_congreso_si_obstaculiza,En desacuerdo,Sistema,-1,"“Queremos ganar el Congreso, no solos. Ojalá otras fuerzas democráticas estén ahí… y con ellos concertaríamos.”",Entrevista o declaración pública,https://www.youtube.com/watch?v=Yum8lIUTu5E ,1:31:18
Cambios_radicales_policia,Muy de acuerdo,Antisistema,2,"""Eso significa una reforma total de la policía para que vuelva a ser una sinstitución respetada y eficaz""",Entrevista o declaración pública,"🔴 Alfonso López‑Chau en CADE 2025: “La primera tarea no es económica, es moral”",0:14:18
Nueva_constitucion,De acuerdo,Antisistema,1,"""Yo creo que necesitamos una nueva constitución""",Entrevista o declaración pública,"Alfonso López Chau Nava: ""Yo sí creo que necesitamos una nueva Constitución""",0:05:22
Prohibir_politicos_repostulen,No se halló información,No se halló información,--,,,,
Reducir_sueldo_congresistas,No se halló información,No se halló información,--,,,,
Permitir_mineria_informal,De acuerdo,Sistema,-1,"""Yo voy a proponer la reinscripción de todos los informales. Reinscripción y voy a ir a dialogar con ellos para ver cuál puede ser su aporte al país, teniendo en cuenta que hay que respetar el medio ambiente""",Entrevista o declaración pública,https://www.youtube.com/watch?v=Y-9WcAu4-_c,0:00:07
Posición Sistema-Antisistema,,,"0,1",,,,
Asilo_politico_peligro,En desacuerdo,Globalista,1,"""Estoy de acuerdo con el asilo porque es un derecho internacional. No hay nada que preguntar ahí. Es un derecho internacional""",Entrevista o declaración pública,https://www.youtube.com/watch?v=Yum8lIUTu5E,1:07:19
TLC_beneficiosos,Muy de acuerdo,Globalista,2,"""Utilizar el foro APEC, la Alianza Pacífico y el CPTPP como herramientas para nuestra integración económica en el Asia-Pacífico.""",Plan de Gobierno,,
Restringir_empresas_extranjeras,En desacuerdo,Globalista,1,"""El Estado impulsará un marco regulatorio moderno y estable para atraer inversión sostenible, con respeto al medio ambiente y compromiso social.""",Plan de Gobierno,,
Nacionalidad_migrantes,De acuerdo,Globalista,1,Creación de un sistema que permita monitorear la mejora de los servicios que se brindan a los peruanos en el exterior y la inserción social de los extranjeros que se encuentran en el país.,Plan de Gobierno,,
Ley_peruana_sobre_acuerdos,Muy en desacuerdo,Globalista,2,Garantizar el cumplimiento de las decisiones de la Corte IDH.,Plan de Gobierno,,
Posición Nacionalista-Globalista,No se halló información,No se halló información,"0,875",,,,
Mas_impuestos_ricos,No se halló información,No se halló información,--,,,,
Empresas_sin_beneficios_tributarios,De acuerdo,Izquierda,1,“Empresarios que ganen con su nación y no a costa de su nación.”,Entrevista o declaración pública,https://www.youtube.com/watch?v=OR0GbooYwfA,0:47:05
Recursos_naturales_estado,De acuerdo,Izquierda,1,"""(Sobre PetroPerú )Me estoy inclinando sobre una APP, donde el estado conserva el 51 y el privado el 49""",Entrevista o declaración pública,https://www.youtube.com/shorts/xEoecjJOg9k,0:00:34
Pensiones_estado,En desacuerdo,Derecha,-1,"""Realmente yo estoy de acuerdo con el Fondo Privado de Pensiones, lo defiendo, pero hay cosas que tienen que ser corregidas""",Entrevista o declaración pública,"🔴 Alfonso López‑Chau en CADE 2025: “La primera tarea no es económica, es moral”",0:39:09
Sectores_estrategicos_privados,En desacuerdo,Izquierda,1,"""(Sobre PetroPerú )Me estoy inclinando sobre una APP, donde el estado conserva el 51 y el privado el 49""",Entrevista o declaración pública,https://www.youtube.com/shorts/xEoecjJOg9k,0:00:34
Priorizar_mineria_sobre_ambiente,En desacuerdo,Izquierda,1,"""Si va si es que se respetan estándares internacionales, si es que hay se consulta, ¿no? Y si es que se resuelve el problema del agua (..) y hay un enfoque territorial de consulta""",Entrevista o declaración pública,https://www.youtube.com/watch?v=LLRIzbOUDD8,0:10:46
Servicios_basicos_privados,En desacuerdo,Izquierda,1,"""Siguiendo la meta nacional de que el 100% de las provincias tengan estas plantas con una inversion publica privada...""",Entrevista o declaración pública,https://web.facebook.com/reel/1580647666544486,0:00:11
Estado_rol_principal_economia,De acuerdo,Izquierda,1,"""Ahora Nación que dice creemos y queremos un estado de tres manos. La mano invisible del mercado. Claro que sí. La mano visible de justicia del Estado y la mano de la fraternidad y de la solidaridad""",Entrevista o declaración pública,https://www.youtube.com/watch?v=N7lAaCvFe5Q,0:38:19
Posición Derecha-Izquierda,,,"0,5",,,,
